"","x"
"1",1709
"2",1646
"3",1794
"4",1878
"5",2173
"6",2321
"7",2468
"8",2416
"9",2184
"10",2121
"11",1962
"12",1825
"13",1751
"14",1688
"15",1920
"16",1941
"17",2311
"18",2279
"19",2638
"20",2448
"21",2279
"22",2163
"23",1941
"24",1878
"25",1773
"26",1688
"27",1783
"28",1984
"29",2290
"30",2511
"31",2712
"32",2522
"33",2342
"34",2195
"35",1931
"36",1910
"37",1730
"38",1688
"39",1899
"40",1994
"41",2342
"42",2553
"43",2712
"44",2627
"45",2363
"46",2311
"47",2026
"48",1910
"49",1762
"50",1815
"51",2005
"52",2089
"53",2617
"54",2828
"55",2965
"56",2891
"57",2532
"58",2363
"59",2216
"60",2026
"61",1804
"62",1773
"63",2015
"64",2089
"65",2627
"66",2712
"67",3007
"68",2880
"69",2490
"70",2237
"71",2205
"72",1984
"73",1868
"74",1815
"75",2047
"76",2142
"77",2743
"78",2775
"79",3028
"80",2965
"81",2501
"82",2501
"83",2131
"84",2015
"85",1910
"86",1868
"87",2121
"88",2268
"89",2690
"90",2933
"91",3218
"92",3028
"93",2659
"94",2406
"95",2258
"96",2057
"97",1889
"98",1984
"99",2110
"100",2311
"101",2785
"102",3039
"103",3229
"104",3070
"105",2659
"106",2543
"107",2237
"108",2142
"109",1962
"110",1910
"111",2216
"112",2437
"113",2817
"114",3123
"115",3345
"116",3112
"117",2659
"118",2469
"119",2332
"120",2110
"121",1910
"122",1941
"123",2216
"124",2342
"125",2923
"126",3229
"127",3513
"128",3355
"129",2849
"130",2680
"131",2395
"132",2205
"133",1994
"134",1952
"135",2290
"136",2395
"137",2965
"138",3239
"139",3608
"140",3524
"141",3018
"142",2648
"143",2363
"144",2247
"145",1994
"146",1941
"147",2258
"148",2332
"149",3323
"150",3608
"151",3957
"152",3672
"153",3155
"154",2933
"155",2585
"156",2384
"157",2057
"158",2100
"159",2458
"160",2638
"161",3292
"162",3724
"163",4652
"164",4379
"165",4231
"166",3756
"167",3429
"168",3461
"169",3345
"170",4220
"171",4874
"172",5064
"173",5951
"174",6774
"175",7997
"176",7523
"177",7438
"178",6879
"179",6489
"180",6288
"181",5919
"182",6183
"183",6594
"184",6489
"185",8040
"186",9715
"187",9714
"188",9756
"189",8595
"190",7861
"191",7753
"192",8154
"193",7778
"194",7402
"195",8903
"196",9742
"197",11372
"198",12741
"199",13733
"200",13691
"201",12239
"202",12502
"203",11241
"204",10829
"205",11569
"206",10397
"207",12493
"208",11962
"209",13974
"210",14945
"211",16805
"212",16587
"213",14225
"214",14157
"215",13016
"216",12253
"217",11704
"218",12275
"219",13695
"220",14082
"221",16555
"222",17339
"223",17777
"224",17592
"225",16194
"226",15336
"227",14208
"228",13116
"229",12354
"230",12682
"231",14141
"232",14989
"233",16159
"234",18276
"235",19157
"236",18737
"237",17109
"238",17094
"239",15418
"240",14312
"241",13260
"242",14990
"243",15975
"244",16770
"245",19819
"246",20983
"247",22001
"248",22337
"249",20750
"250",19969
"251",17293
"252",16498
"253",15117
"254",16058
"255",18137
"256",18471
"257",21398
"258",23854
"259",26025
"260",25479
"261",22804
"262",19619
"263",19627
"264",18488
"265",17243
"266",18284
"267",20226
"268",20903
"269",23768
"270",26323
"271",28038
"272",26776
"273",22886
"274",22813
"275",22404
"276",19795
"277",18839
"278",18892
"279",20823
"280",22212
"281",25076
"282",26884
"283",30611
"284",30228
"285",26762
"286",25885
"287",23328
"288",21930
"289",21433
"290",22369
"291",24503
"292",25905
"293",30605
"294",34984
"295",37060
"296",34502
"297",31793
"298",29275
"299",28305
"300",25248
"301",27730
"302",27424
"303",32684
"304",31366
"305",37459
"306",41060
"307",43558
"308",42398
"309",33827
"310",34962
"311",33480
"312",32445
"313",30715
"314",30400
"315",31451
"316",31306
"317",40592
"318",44133
"319",47387
"320",41310
"321",37913
"322",34355
"323",34607
"324",28729
"325",26138
"326",30745
"327",35018
"328",34549
"329",40980
"330",42869
"331",45022
"332",40387
"333",38180
"334",38608
"335",35308
"336",30234
"337",28801
"338",33034
"339",35294
"340",33181
"341",40797
"342",42355
"343",46098
"344",42430
"345",41851
"346",39331
"347",37328
"348",34514
"349",32494
"350",33308
"351",36805
"352",34221
"353",41020
"354",44350
"355",46173
"356",44435
"357",40943
"358",39269
"359",35901
"360",32142
"361",31239
"362",32261
"363",34951
"364",38109
"365",43168
"366",45547
"367",49568
"368",45387
"369",41805
"370",41281
"371",36068
"372",34879
"373",32791
"374",34206
"375",39128
"376",40249
"377",43519
"378",46137
"379",56709
"380",52306
"381",49397
"382",45500
"383",39857
"384",37958
"385",35567
"386",37696
"387",42319
"388",39137
"389",47062
"390",50610
"391",54457
"392",54435
"393",48516
"394",43225
"395",42155
"396",39995
"397",37541
"398",37277
"399",41778
"400",41666
"401",49616
"402",57793
"403",61884
"404",62400
"405",50820
"406",51116
"407",45731
"408",42528
"409",40459
"410",40295
"411",44147
"412",42697
"413",52561
"414",56572
"415",56858
"416",58363
"417",45627
"418",45622
"419",41304
"420",36016
"421",35592
"422",35677
"423",39864
"424",41761
"425",50380
"426",49129
"427",55066
"428",55671
"429",49058
"430",44503
"431",42145
"432",38698
"433",38963
"434",38690
"435",39792
"436",42545
"437",50145
"438",58164
"439",59035
"440",59408
"441",55988
"442",47321
"443",42269
"444",39606
"445",37059
"446",37963
"447",31043
"448",41712
"449",50366
"450",56977
"451",56807
"452",54634
"453",51367
"454",48073
"455",46251
"456",43736
"457",39975
"458",40478
"459",46895
"460",46147
"461",55011
"462",57799
"463",62450
"464",63896
"465",57784
"466",53231
"467",50354
"468",38410
"469",41600
"470",41471
"471",46287
"472",49013
"473",56624
"474",61739
"475",66600
"476",60054
