"","x"
"1",0.429
"2",0.443
"3",0.451
"4",0.455
"5",0.44
"6",0.433
"7",0.423
"8",0.412
"9",0.411
"10",0.426
"11",0.436
"12",0.441
"13",0.446
"14",0.443
"15",0.437
"16",0.426
"17",0.427
"18",0.431
"19",0.436
"20",0.432
"21",0.433
"22",0.424
"23",0.42
"24",0.416
"25",0.405
"26",0.408
"27",0.414
"28",0.417
"29",0.4
"30",0.404
"31",0.396
"32",0.393
"33",0.389
"34",0.409
"35",0.409
"36",0.413
"37",0.403
"38",0.402
"39",0.389
"40",0.392
"41",0.383
"42",0.389
"43",0.386
"44",0.395
"45",0.4
"46",0.412
"47",0.411
"48",0.414
"49",0.412
"50",0.404
"51",0.401
"52",0.406
"53",0.407
"54",0.41
"55",0.41
"56",0.409
"57",0.407
"58",0.407
"59",0.402
"60",0.409
"61",0.403
"62",0.398
"63",0.397
"64",0.396
"65",0.392
"66",0.391
"67",0.395
"68",0.391
"69",0.387
"70",0.389
"71",0.399
"72",0.396
"73",0.392
"74",0.391
"75",0.388
"76",0.395
"77",0.405
"78",0.414
"79",0.425
"80",0.433
"81",0.423
"82",0.417
"83",0.432
"84",0.43
"85",0.418
"86",0.42
"87",0.418
"88",0.404
"89",0.403
"90",0.418
"91",0.419
"92",0.417
"93",0.418
"94",0.42
"95",0.417
"96",0.421
"97",0.422
"98",0.428
"99",0.429
"100",0.428
"101",0.421
"102",0.422
"103",0.412
"104",0.405
"105",0.405
"106",0.411
"107",0.407
"108",0.411
"109",0.413
"110",0.409
"111",0.405
"112",0.408
"113",0.402
"114",0.398
"115",0.396
"116",0.392
"117",0.391
"118",0.399
"119",0.407
"120",0.406
"121",0.393
"122",0.387
"123",0.386
"124",0.383
"125",0.389
"126",0.393
"127",0.396
"128",0.387
"129",0.38
"130",0.359
"131",0.361
"132",0.375
"133",0.399
"134",0.406
"135",0.417
"136",0.421
"137",0.407
"138",0.384
"139",0.393
"140",0.41
"141",0.409
"142",0.413
"143",0.41
"144",0.398
"145",0.382
"146",0.381
"147",0.376
"148",0.389
"149",0.395
"150",0.397
"151",0.401
"152",0.404
"153",0.401
"154",0.393
"155",0.401
"156",0.399
"157",0.4
"158",0.402
"159",0.399
"160",0.397
"161",0.398
"162",0.399
"163",0.388
"164",0.389
"165",0.379
"166",0.384
"167",0.394
"168",0.402
"169",0.395
"170",0.398
"171",0.391
"172",0.375
"173",0.375
"174",0.393
"175",0.394
"176",0.389
"177",0.391
"178",0.385
