FECHA;T2M;PRECTOTCORR;RH2M;QV2M;WS2M
1/01/1984;16,74;10,81;88,38;12,7;1,25
2/01/1984;16,23;5,86;87,41;12,14;0,95
3/01/1984;16,33;4,67;88,93;12,48;1,01
4/01/1984;16,8;3,28;86,57;12,47;0,9
5/01/1984;17,05;11,92;86,53;12,68;1,09
6/01/1984;16,4;16,42;88,08;12,37;0,87
7/01/1984;16,71;17,16;86,27;12,32;0,97
8/01/1984;17,13;5,88;83,79;12,23;0,98
9/01/1984;16,34;3,03;87,18;12,25;0,81
10/01/1984;17,02;0,59;82,54;12,1;0,87
11/01/1984;16,28;0,35;85,84;11,96;1,27
12/01/1984;16,29;4,08;84,97;11,88;0,99
13/01/1984;16,64;3,65;82,89;11,8;1,25
14/01/1984;17,32;5,48;72,63;10,67;1,31
15/01/1984;16,97;4,37;85,9;12,59;0,61
16/01/1984;17,71;3,13;82,07;12,47;0,79
17/01/1984;18,41;3,74;76,38;12,11;1,4
18/01/1984;18;4,77;77,71;12;1,33
19/01/1984;17,13;6,59;84,26;12,4;0,71
20/01/1984;16,27;6,77;89,3;12,53;0,64
21/01/1984;16,43;9,31;86,91;12,27;1,05
22/01/1984;16,74;7,13;83,76;12,04;0,82
23/01/1984;17,23;0,81;87,21;12,93;0,72
24/01/1984;17,51;0,34;83,12;12,52;0,61
25/01/1984;17,3;0,28;87,24;13,02;0,84
26/01/1984;16,51;2,2;87,88;12,51;1,12
27/01/1984;16,16;2,81;85,45;11,89;0,9
28/01/1984;16,81;2,98;83,83;12,07;0,89
29/01/1984;17,04;8,79;85,81;12,6;1
30/01/1984;17,38;9,47;79,81;11,91;1,29
31/01/1984;18,03;7,67;77,47;12,09;0,98
1/02/1984;17,9;7,28;82,52;12,8;0,85
2/02/1984;18,1;5,17;80,68;12,58;0,76
3/02/1984;18,1;14,41;81,33;12,69;1,01
4/02/1984;17,13;1,4;84,31;12,47;0,67
5/02/1984;16,79;6,1;88,79;12,86;0,91
6/02/1984;17,63;18,48;83,65;12,67;1
7/02/1984;17,4;18,86;85,8;12,85;0,82
8/02/1984;16,48;8,16;90,8;12,92;0,6
9/02/1984;16,75;8,62;87,85;12,7;0,47
10/02/1984;18,44;0,32;76,2;12,01;0,91
11/02/1984;18,33;12,26;80,99;12,79;0,89
12/02/1984;18,44;5,47;78,2;12,42;0,8
13/02/1984;18,04;1,49;85,55;13,35;0,69
14/02/1984;17,16;4,18;88,42;13,16;0,77
15/02/1984;17,28;7,48;87,28;13,03;0,94
16/02/1984;16,6;1,8;89,45;12,77;0,59
17/02/1984;17,46;1,61;85,44;12,83;0,93
18/02/1984;18,09;5,04;77,06;11,97;1
19/02/1984;18,3;4,29;75,12;11,85;0,86
20/02/1984;18,76;3,32;79,2;12,86;0,58
21/02/1984;17,8;2,33;82,96;12,68;0,87
22/02/1984;18,11;2,05;81,57;12,73;0,79
23/02/1984;18,57;7,91;76,19;12,17;1,45
24/02/1984;18,37;6,59;78,66;12,39;1
25/02/1984;17,79;10,24;84,95;13,02;0,92
26/02/1984;18,16;1,81;83,3;13,11;0,78
27/02/1984;18,74;2,76;78,08;12,62;0,86
28/02/1984;17,9;3,25;80,9;12,42;1,15
29/02/1984;17,56;5,17;83,81;12,63;0,76
1/03/1984;17,26;6,6;84,93;12,64;1,11
2/03/1984;17,95;3,77;80,68;12,42;0,85
3/03/1984;18,47;2,72;81,32;12,95;0,82
4/03/1984;18,55;3,23;79,66;12,7;1,03
5/03/1984;18,5;7,06;82,08;13,14;0,77
6/03/1984;18,98;4,43;81,87;13,48;0,8
7/03/1984;18,59;2,43;86,26;13,94;0,67
8/03/1984;18,34;2,2;85,03;13,48;0,77
9/03/1984;17,46;0,75;88,6;13,39;1,01
10/03/1984;18,12;0,13;81,57;12,75;1,16
11/03/1984;17,91;0,08;78,15;12,02;0,99
12/03/1984;17,97;0,04;71,69;10,85;1,16
13/03/1984;18,22;0,08;70,2;10,75;1
14/03/1984;18,31;0,33;74,2;11,54;0,88
15/03/1984;18,46;1,43;78,61;12,54;1,07
16/03/1984;17,6;12,28;81,76;12,43;0,79
17/03/1984;17,07;6,26;85,63;12,62;0,99
18/03/1984;17,08;0,48;86,16;12,67;1,18
19/03/1984;17,5;5,27;84,67;12,73;1,26
20/03/1984;17,62;2,41;85,16;12,9;0,77
21/03/1984;18,18;7,68;84,66;13,33;0,75
22/03/1984;17,85;8,31;86,75;13,42;0,73
23/03/1984;17,22;6,28;92,69;13,85;0,66
24/03/1984;16,74;6,83;90,39;13,04;0,87
25/03/1984;17,32;5,73;87,03;13,01;0,56
26/03/1984;18,55;2,54;87,28;14,11;0,78
27/03/1984;18,64;10,89;83,13;13,51;0,48
28/03/1984;18,79;3,76;80,7;13,17;0,57
29/03/1984;17,03;9,55;90,49;13,35;0,71
30/03/1984;18,02;4,6;83,64;13,01;0,92
31/03/1984;17,48;2,57;90,06;13,64;0,67
1/04/1984;17,39;12,17;91,82;13,89;0,62
2/04/1984;18,64;2,51;82,51;13,25;0,84
3/04/1984;18,98;0,8;82,81;13,59;0,8
4/04/1984;19,22;1,51;76,3;12,61;0,95
5/04/1984;18,51;3,76;81,92;13,13;0,71
6/04/1984;18,5;5,9;84,47;13,54;0,75
7/04/1984;17,72;11,4;87,53;13,48;0,65
8/04/1984;18,2;7,96;85,28;13,48;0,69
9/04/1984;18,96;18,04;82,84;13,7;0,73
10/04/1984;18,83;8,68;82,05;13,43;1,08
11/04/1984;18,81;5,09;81,92;13,39;0,69
12/04/1984;18,72;2,82;81,32;13,17;0,75
13/04/1984;18,66;4,91;80,38;12,97;0,68
14/04/1984;18,49;2,69;80,2;12,81;0,73
15/04/1984;18,36;8,82;83,04;13,15;0,78
16/04/1984;18,5;13,02;82,65;13,25;0,6
17/04/1984;19,01;1,36;74,11;12,04;1,51
18/04/1984;18,99;2,23;75,58;12,44;1,33
19/04/1984;19,52;10,68;77,13;13,1;1,26
20/04/1984;19,14;7,16;82,22;13,79;0,69
21/04/1984;18,66;6,25;86,85;14,16;0,63
22/04/1984;17,09;7,59;90,83;13,48;0,77
23/04/1984;17,17;3,41;85,28;12,66;0,58
24/04/1984;18,52;5,37;83,26;13,39;0,63
25/04/1984;18,12;4,66;84,13;13,23;0,71
26/04/1984;18,47;11,13;82,87;13,24;0,92
27/04/1984;17,67;15,42;85,39;13,03;0,73
28/04/1984;17,41;13,29;88,98;13,38;0,73
29/04/1984;16,87;18,62;89,87;13,06;0,96
30/04/1984;16,74;19,31;90,67;13,09;0,83
1/05/1984;16,8;17,91;90,41;13,11;0,55
2/05/1984;17,72;8,19;85,35;13,06;0,68
3/05/1984;18,62;2,05;81,41;13,14;0,85
4/05/1984;19,17;1,46;75,3;12,43;1,12
5/05/1984;18,89;0,74;75,63;12,42;1,15
6/05/1984;19,05;5,46;76,12;12,62;0,96
7/05/1984;18,73;9,57;82,85;13,47;0,7
8/05/1984;18,2;12,42;84,47;13,27;0,44
9/05/1984;17,43;11,74;87,75;13,2;0,48
10/05/1984;17,82;20,95;85,49;13,16;0,62
11/05/1984;18,19;6,33;86,26;13,62;0,72
12/05/1984;17,16;6,46;90,01;13,34;1,02
13/05/1984;17,2;14,25;88,75;13,21;0,7
14/05/1984;16,94;11,61;88,14;12,82;0,78
15/05/1984;16,86;15,67;89,27;12,97;0,55
16/05/1984;17,7;5,66;84,69;12,93;0,51
17/05/1984;18,06;7,53;84,38;13,26;0,48
18/05/1984;18,61;13,33;80,92;13,06;0,7
19/05/1984;18,9;5;75,87;12,35;0,93
20/05/1984;18,91;7,52;77,76;12,75;1,14
21/05/1984;18,69;4,91;82,17;13,34;1,42
22/05/1984;18,3;8,49;83,57;13,29;0,62
23/05/1984;18,3;10,14;83,25;13,16;0,61
24/05/1984;17,83;15,2;86,43;13,3;0,82
25/05/1984;17,65;12,75;87,68;13,38;0,72
26/05/1984;17,69;14,18;85,7;13,11;0,74
27/05/1984;17,04;3,76;87,31;12,85;0,41
28/05/1984;17,84;4,95;83,6;12,89;0,6
29/05/1984;18,69;4,24;79,83;12,93;0,76
30/05/1984;18,48;12,32;80,26;12,91;0,88
31/05/1984;17,6;4,63;84,35;12,88;0,91
1/06/1984;16,73;1,59;84,55;12,2;1,02
2/06/1984;17,8;3,5;79,85;12,24;1,14
3/06/1984;17,99;2,01;79,1;12,28;1,21
4/06/1984;17,54;1,22;82,81;12,51;0,9
5/06/1984;17,58;2,79;83,8;12,71;1,02
6/06/1984;17,34;17,07;84,63;12,66;0,95
7/06/1984;17,17;8,54;84,36;12,49;0,88
8/06/1984;17,7;6,21;83,74;12,77;0,47
9/06/1984;17,59;10,42;83,95;12,76;1,06
10/06/1984;18,39;14,14;78,97;12,59;1,23
11/06/1984;17,45;6,02;82,77;12,52;1
12/06/1984;17,43;5,26;81,33;12,24;0,79
13/06/1984;17,65;13,93;82,17;12,53;0,79
14/06/1984;17,8;5,31;80,67;12,37;1,21
15/06/1984;17,83;0,93;80,06;12,32;1,11
16/06/1984;18,28;1,06;78,2;12,35;1,63
17/06/1984;17,34;11,84;80,09;11,95;1,6
18/06/1984;17,03;5,94;80,65;11,79;1,48
19/06/1984;16,99;0,98;80,87;11,77;1,16
20/06/1984;17,07;0,31;79,83;11,67;1,87
21/06/1984;16,9;1,34;82,09;11,91;1,37
22/06/1984;17,37;6,45;80,32;12,03;1,08
23/06/1984;17,51;2,84;79,82;12,06;0,99
24/06/1984;17,21;8,49;81,26;12,03;1,23
25/06/1984;17,51;2,41;77,99;11,7;1,05
26/06/1984;18,31;8,81;79,14;12,54;0,64
27/06/1984;17,98;9,24;81,39;12,66;0,81
28/06/1984;16,05;4,57;85,84;11,85;0,85
29/06/1984;16,25;3,36;86,81;12,15;0,88
30/06/1984;16,79;5,52;84,27;12,18;1,14
1/07/1984;17,09;2,22;81,86;12,03;0,5
2/07/1984;17,6;2,17;80,15;12,12;0,77
3/07/1984;17,85;7,42;82,69;12,8;0,69
4/07/1984;17,54;2,92;82,94;12,59;0,66
5/07/1984;17,1;1,85;85,18;12,53;0,82
6/07/1984;16,89;2,32;85,08;12,37;0,57
7/07/1984;16,99;1,75;80,85;11,81;0,91
8/07/1984;16,86;1,52;78,47;11,33;0,92
9/07/1984;16,7;1,73;79,7;11,42;0,73
10/07/1984;17,17;4,76;81,12;11,89;0,66
11/07/1984;17,69;1,24;78,97;11,92;0,62
12/07/1984;17,9;1,28;79,66;12,25;0,58
13/07/1984;17,14;2,79;81,1;11,92;1,03
14/07/1984;17,07;2,29;78,16;11,43;1,32
15/07/1984;16,89;0,81;78,32;11,3;1,27
16/07/1984;16,6;0,46;78,89;11,21;1,1
17/07/1984;16,81;0,58;79,45;11,51;1,62
18/07/1984;17,34;1,8;75,71;11,23;2
19/07/1984;17,5;8,34;78,96;11,94;1,24
20/07/1984;16,81;5,37;81,33;11,72;1,54
21/07/1984;16,6;0,22;78,46;11,09;1,61
22/07/1984;16,31;3,66;79;11,04;1,21
23/07/1984;16,59;2,75;78,97;11,28;1,07
24/07/1984;17,1;1,51;77,45;11,37;1,23
25/07/1984;16,83;3,55;80,2;11,6;1,55
26/07/1984;16,83;3,7;79,88;11,54;1,71
27/07/1984;17,02;0,67;78,61;11,46;1,36
28/07/1984;17,2;0,59;79,78;11,77;1,59
29/07/1984;16,64;3,31;81,61;11,59;1,77
30/07/1984;15,77;1,29;80,58;10,78;2,07
31/07/1984;16,22;7,73;78,45;10,91;1,2
1/08/1984;17,5;10,64;77,66;11,68;0,77
2/08/1984;17,88;6,73;80,12;12,35;0,53
3/08/1984;18,51;7,57;78,89;12,6;0,76
4/08/1984;18,72;1,38;76,29;12,21;0,99
5/08/1984;17,91;2,56;75,22;11,53;2,36
6/08/1984;17,87;2,95;75,11;11,49;1,69
7/08/1984;17,73;3,58;76,33;11,53;1,9
8/08/1984;18,21;4,16;78,3;12,25;1,52
9/08/1984;18,41;7,06;76,12;12,05;1,76
10/08/1984;17,9;2,45;77,34;11,9;1,64
11/08/1984;17,91;1,25;74,62;11,49;2,02
12/08/1984;18,23;1,31;75,49;11,8;1,78
13/08/1984;18,06;3,58;75,5;11,71;1,91
14/08/1984;17,84;2,07;75,66;11,56;1,72
15/08/1984;18,43;1,78;76,19;12,09;1,44
16/08/1984;18,26;3,48;76,77;12,02;1,5
